"","passatt","passcomp","passyds","passtds","passints","passtwopta","passtwoptm","rushatt","rushyds","rushtds","rushlng","rushlngtd","rushtwopta","rushtwoptm","recept","recyds","rectds","reclng","reclngtd","rectwopta","rectwoptm","kickrets","kickretavg","kickrettds","kickretlng","kickretlngtd","puntrets","puntretavg","puntrettds","puntretlng","puntretlngtd","fgm","fga","fgyds","totptsfg","xpmade","xpmissed","xpa","xpb","xpptstot","tackles","assttackles","sacks","defints","forcedfumbs","totalfumbs","recfumbs","totalrecfumbs","fumbyds","fumbslost","week","season","GameID","HomeTeam","HomeScore","AwayTeam","AwayScore","Date","NetScoreMA5","GameResult","Location","Team","DeltaWins","DeltaCumNetPoints","NetScore"
"45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"2010","2010092612","ARI",24,"OAK",23,2010-09-26,NA,1,"H","ARI",NA,NA,1
"72",-3.5,-4.75,-63.25,-1,0.5,0,0,-16.5,-55.75,-0.75,-0.75,13,0,0,-4.75,-63.25,-1,-22.5,-15.75,0,0,2.25,-29,0.25,-11.25,0,0,-1.5,0,-5,0,-1.5,-2.25,-16.5,-4.5,-1.5,0,-1.5,0,-1.5,16.25,1.25,-2,-0.5,-0.5,1.25,0.5,-0.5,-3,1,5,"2010","2010101009","ARI",30,"NOR",20,2010-10-10,-15,1,"H","ARI",1,-39.25,10
"114",-4,-5,-100.25,-1,0.25,0,0,-11.25,-55.5,-0.5,-26,-5,0,0,-5,-100.25,-1,-34.75,-20.75,0,0,1.75,0.25,0.25,20.25,0,1.25,6.25,0,7.75,0,-1.5,-2.75,-5.5,-4.5,-0.5,0,-0.5,0,-0.5,10.5,3.25,-1.75,-0.25,-0.5,1.25,0.5,-0.5,19.25,1,8,"2010","2010103109","ARI",35,"TAM",38,2010-10-31,-8,-1,"H","ARI",0,-57.25,-3
"141",-5,-7,-97,-0.75,0.25,0,0,-5,-39,0,-21.75,3.5,0,0,-7,-97,-0.75,-41,-21.75,0,0,1,4.75,0.25,26,24,0.5,3.25,0,6,0,-1.25,-1.5,-12.25,-3.75,0.25,0,0.25,0,0.25,8.75,4.5,-0.5,-0.25,-0.75,1,1,1.25,19.25,0,10,"2010","2010111409","ARI",18,"SEA",36,2010-11-14,-2,-1,"H","ARI",-1.5,-54,-18
"176",5.5,-1.75,-46.25,-0.25,0.5,0.25,0.25,-8,-52,-1,-30.25,1.5,0,0,-1.75,-46.25,-0.25,-41.5,-36.25,0.25,0.25,3.25,15.5,0.25,39.75,24,-1.5,-3.75,0,-12.25,0,-1.25,-1.5,-9.75,-3.75,-1.25,0,-1.25,0,-1.25,7.5,1.25,-1.75,-0.5,-0.25,0,0.25,0.75,12.25,-0.25,12,"2010","2010112900","ARI",6,"SFO",27,2010-11-29,-10.5,-1,"H","ARI",-3.5,-71.75,-21
"188",4.75,-2,-36.25,-0.75,-0.5,0.25,0.25,-15.25,-100.5,-1.5,-38.25,-4.75,0,0,-2,-36.25,-0.75,-21,-35.25,0.25,0.25,3.75,23,0.25,44.75,24,-2,-11.75,0,-23.75,0,-1,-1.5,-4.25,-3,-2,0,-2,0,-2,14,2.5,-2,0.5,-0.25,0.25,-0.25,-0.5,7.75,0.5,13,"2010","2010120511","ARI",6,"STL",19,2010-12-05,-15,-1,"H","ARI",-3,-84,-13
"204",9.75,1.25,16.5,-0.5,0.25,0.25,0.25,-19.75,-97.25,-1.5,-32.5,-10.5,0,0,1.25,16.5,-0.5,-19.5,-33.5,0.25,0.25,4.25,18.5,0,26.5,0,-0.5,-15.75,0,-27.75,0,-1.25,-1.75,-2.75,-3.75,-2.25,0,-2.25,0,-2.25,15.5,3,-1.75,-0.25,-0.5,0.5,0,-0.5,0.25,0.5,14,"2010","2010121211","ARI",43,"DEN",13,2010-12-12,-17.5,1,"H","ARI",-4.5,-103.25,30
"226",5.75,-0.5,15.75,-0.5,-0.25,0,0,-19.5,-79.25,-0.25,-10.75,0.75,0.25,0,-0.5,15.75,-0.5,-3.5,-13.5,0,0,1,2.25,0,0.75,0,1,-16,0,-16.75,0,-0.25,-0.5,1,-0.75,-0.5,0,-0.5,0,-0.5,16.75,7.25,-0.5,0.25,-0.5,0.5,0.75,1,-0.25,-0.25,16,"2010","2010122500","ARI",27,"DAL",26,2010-12-25,-2.75,1,"H","ARI",-0.5,-42.25,1
"268",5.75,0.75,-10.5,-0.75,-0.5,0,0,-10.25,-41.75,-0.25,-9.5,2.25,0.25,0,0.75,-10.5,-0.75,-10.75,-16.75,0,0,0.75,2,0,3.25,0,1.75,-4,0,1.75,0,0,0.25,-8.25,0,-0.25,-0.25,-0.5,0,-0.25,7,1.25,0,0.5,-0.5,-0.25,0,0.75,-3,-0.75,1,"2011","2011091109","ARI",28,"CAR",21,2011-09-11,-1.75,1,"H","ARI",1,-31,7
"315",2.25,2,-26.5,0,0.25,-0.25,0,-6.75,-27,-0.5,-13.75,-2.25,0,0,2,-26.5,0,-12.75,10.5,-0.25,0,1,9.75,0,10.5,0,-0.25,10.5,0.25,21.75,22.25,-1.25,-0.5,-20.25,-3.75,-0.25,0,-0.25,0,-0.25,1.75,-0.25,-0.75,-0.25,-1.75,1.75,0.75,0.25,4.75,0.5,4,"2011","2011100209","ARI",27,"NYG",31,2011-10-02,-7,-1,"H","ARI",-0.5,-14.75,-4
"354",4,1.25,10.5,-0.25,1,-0.25,0,-6.75,-26,-0.5,-15.25,-11.75,0,0,1.25,10.5,-0.25,5.5,14,-0.25,0,0,6.75,0,5.75,0,-0.75,-7.75,0,-9,0,-1,-0.75,-11.75,-3,-0.5,0,-0.5,0,-0.5,-0.5,2,-1.75,-1,-1,1.25,1,1,6.75,0,7,"2011","2011102307","ARI",20,"PIT",32,2011-10-23,-8,-1,"H","ARI",-1.5,-3.75,-12
"384",-3.5,-5.75,-67.75,-0.5,1.25,0.25,0,-2.5,-2.25,-0.75,-6.25,-9.75,0,0,-5.75,-67.75,-0.5,-8.75,-14.25,0.25,0,0.75,3.5,0,2.25,0,-0.75,-8,0.25,1.75,20.5,-1,-1.25,-12.25,-3,-1.25,0,-1.25,0,-1.25,1,1.25,-2.25,-1.25,0.25,0,0.25,0.75,0,-0.5,9,"2011","2011110611","ARI",19,"STL",13,2011-11-06,-10.75,1,"H","ARI",-4.75,-56.75,6
"445",-1.75,-2.25,-9.75,0.5,0.75,0,0,-8.75,-15,0,16.25,1.5,0,0,-2.25,-9.75,0.5,12.75,2.25,0,0,-0.5,-9.75,0,-11.75,0,1,1.25,0.25,18.25,22.75,-1,-1,-25,-3,0.25,0,0.25,0,0.25,10.75,-1.75,-1,-0.75,-0.5,1,0.75,0.5,0,0.25,13,"2011","2011120411","ARI",19,"DAL",13,2011-12-04,-0.75,1,"H","ARI",-1.5,-10,6
"460",-5.75,-4.5,-14.5,0.25,1,0,0,-3,12,0.25,21.25,2.5,0,0,-4.5,-14.5,0.25,12.25,10.75,0,0,0,-9.75,0,-17.5,0,0.25,-5.5,0,-5,-2,-0.75,-1.25,-23,-2.25,0,0,0,0,0,8.75,-4.75,-1.25,-1,0,0,-0.25,-0.5,0.75,0.25,14,"2011","2011121110","ARI",21,"SFO",19,2011-12-11,-0.75,1,"H","ARI",-3,-48.25,2
"477",-9.25,-5.25,-34,0.25,1.5,0,0,-3.75,22.75,0.25,22.5,-6.5,0,0,-5.25,-34,0.25,9.5,34.25,0,0,-1,-10,0,-18.5,0,-0.25,-8.25,0,-13,-2,-1.5,-2.75,-25.5,-4.5,0.25,0,0.25,0,0.25,10.25,-1,0,-1.5,-0.5,0.75,0.25,-0.25,0.75,0.5,15,"2011","2011121810","ARI",20,"CLE",17,2011-12-18,-1.25,1,"H","ARI",-5,-76.5,3
"511",0.75,1.25,71.75,0.75,1.5,0,0,-3.5,-39.75,0,-12.5,-8.25,0.25,0,1.25,71.75,0.75,36.5,22.75,0,0,-0.25,-19,0,-25.75,0,-0.25,-7,0,-11.25,0,-1.25,-2.5,-17.75,-3.75,0.25,0,0.25,0,0.25,1.75,2,-0.5,-1.5,0.25,-0.5,0,0.5,-1.5,-0.5,17,"2011","2012010115","ARI",23,"SEA",20,2012-01-01,1,1,"H","ARI",-2.5,-64.25,3
"523",6.25,4.5,97,0.75,1.5,0,0,-5.5,-58.5,-0.25,-20.75,-21,0.25,0,4.5,97,0.75,29.75,-1,0,0,0,-18.75,0,-17.75,0,0,-4.75,0,-1.75,0,-1,-1.75,-17.25,-3,0.25,0,0.25,0,0.25,1.5,0.5,0,-1.5,0.25,0,0.25,0.5,-9.75,-0.25,1,"2012","2012090910","ARI",20,"SEA",16,2012-09-09,0.25,1,"H","ARI",-1,-55.75,4
"556",0.25,-1.25,19.5,0,0.5,-0.25,0,-6.75,-52.5,0.5,-8,-10.25,0.25,0,-1.25,19.5,0,5.25,-13.25,-0.25,0,0.25,-3,0,-13.25,0,-0.5,-6.75,0,-8.75,0,-1,-1.75,-8.5,-3,0.5,0,0.5,0,0.5,12.25,-7.75,1,-0.5,-0.25,0.25,0,-0.25,-7.75,0.25,3,"2012","2012092309","ARI",27,"PHI",6,2012-09-23,0.5,1,"H","ARI",0.5,-28.75,21
"571",-6.25,-2.5,-15,0.5,-0.25,-0.25,0,0.5,-32.75,0.5,3.5,-10.25,0,0,-2.5,-15,0.5,-10.25,-2.5,-0.25,0,-0.75,-4.75,0,-14.75,0,0.25,-4.5,0,-5.75,0,-0.5,-0.75,-3.75,-1.5,1.5,0,1.5,0,1.5,8.5,-8.25,2.25,0.25,-0.25,-0.25,-0.25,-0.25,17.75,0,4,"2012","2012093007","ARI",24,"MIA",21,2012-09-30,7.5,1,"H","ARI",2,-0.25,3
"598",1,2.75,-32.5,0.5,-0.5,-0.5,-0.25,-2.75,-34,0,-4.25,1,0,0,2.75,-32.5,0.5,2.5,-11.75,-0.25,0,-0.25,-3,0,-1.25,0,1.25,-4.5,0,-4,0,-0.75,-1,-0.75,-2.25,1.25,0,1.25,0,1.25,0.25,-7.75,-1.75,0.5,0.25,0.5,1,1.5,41,-0.5,6,"2012","2012101407","ARI",16,"BUF",19,2012-10-14,3,-1,"H","ARI",3,20.25,-3
"630",14.5,9.75,66.25,0.25,-0.25,-0.25,-0.25,-8.25,-36.75,-0.75,-3.5,-5.5,0,0,9.75,66.25,0.25,31,-19.25,0,0,-0.5,-18.25,0,-16.25,0,1.75,-0.75,0,3.5,0,0.25,0.75,8,0.75,-0.5,0,-0.5,0,-0.5,-6.25,-3,-4.75,0.25,0.25,1,1.25,1.5,17.75,-0.25,8,"2012","2012102900","ARI",3,"SFO",24,2012-10-29,-5.25,-1,"H","ARI",2,21.5,-21
"685",12.25,5.75,29.75,-1.5,-1.25,0,0,-10,-47.25,0.25,-9.5,-1.75,0,0,5.75,29.75,-1.5,-13.5,-35.75,0,0,0,-11.5,0,-6,0,0.25,-3,0,-12.75,0,0.25,0.25,-7.75,0.75,-1.75,0,-1.75,0,-1.75,-1.5,2.25,-1.75,1.25,0,0.75,0.25,-0.25,-4,0.5,12,"2012","2012112510","ARI",17,"STL",31,2012-11-25,-11.5,-1,"H","ARI",-5,-80.5,-14
"732",8.75,2,-65.25,-1,-0.25,0,0,-14.25,-89.25,-0.5,-6.25,-5.5,0,0,2,-65.25,-1,-49,-24.75,0,0,3,-2.25,0,11.75,0,-1.5,3.75,0,-3.75,0,0,-0.75,6.5,0,-2.75,0,-2.75,0,-2.75,8.75,2.75,-0.75,0.25,0.25,0.5,0,-0.75,-6.25,0.75,15,"2012","2012121608","ARI",38,"DET",10,2012-12-16,-19.25,1,"H","ARI",-5.25,-73,28
